timestamp,posture,audio_emotion,angry,disgust,fear,happy,sad,surprise,neutral
10.26,No person,confident,8.705745976762744e-07,1.6749580152559935e-11,98.8000749826476,1.1855466066626672,7.221424600187022e-06,0.00030748473832438304,0.014060249051410649
11.92,No person,confident,0.0060556430980795994,5.979232951599883e-20,3.744628429558361e-05,0.00012850385928686592,0.05020903190597892,2.0060806450250893e-12,99.94357228279114
12.43,No person,confident,0.23749545216560364,8.771358883359962e-12,0.03125232760794461,1.012439554415323e-06,0.7638987619429827,2.984407720951765e-08,98.96734952926636
12.99,No person,confident,0.21131522762742905,3.373115403662021e-10,0.15834199006876468,0.16760620386004998,1.0389736546309405,0.18517688270412294,98.23858162896852
13.59,No person,confident,1.424132939428091,9.992509717304923e-16,17.738908529281616,1.8335697404836537e-05,13.967384397983551,6.377813965082169,60.49174666404724
14.19,No person,confident,0.0004553421237529645,2.989017499779018e-18,2.0036025717819905e-05,0.00017253721363412992,0.005513227299734106,7.94965255133944e-07,99.99383687899552
14.68,No person,confident,3.797528846803153e-05,1.5012933620345227e-15,99.99634623505749,3.3972847395151002e-09,0.0009962506422109818,2.4561587562299746e-07,0.002623103839057633
15.23,No person,confident,0.01574680209159851,1.5858604340265843e-16,1.6846428252392798e-05,5.824963289491336e-08,0.08029048913158476,3.4778312174577053e-09,99.90394711494446
15.69,No person,confident,0.0002987194598762276,4.820208157345974e-17,0.5023476501463443,2.1667119169116014e-06,0.6886691731166347,8.06685184549606e-05,98.80860440782335
16.22,No person,confident,0.0008264809366664849,5.04808649989822e-18,0.05905951256863773,5.93675242299696e-07,0.7148363161832094,1.8480173835655478e-06,99.2252767086029
16.79,No person,confident,0.0009429396628483915,2.388530212005854e-16,0.08777479406928052,0.004685616853888107,0.004195760038734679,0.004803068286080603,99.89759920806875
17.34,No person,confident,73.04584383964539,3.1276617461982155e-13,0.016597598732914776,0.06388718029484153,0.1320548471994698,0.002203386975452304,26.739415526390076
17.95,No person,confident,90.07896184921265,1.1377409016199622e-13,0.13456670567393303,0.0002078487796097761,0.0461883406387642,1.5634581629342392e-06,9.74007323384285
18.48,No person,confident,0.0003424864621094391,6.699403609057278e-23,1.5290699396556444e-06,1.5333813258830798e-09,0.03815591562723611,1.996409477353889e-11,99.96150135764488
19.02,No person,confident,2.5239437206892035e-06,5.5758791896520385e-25,4.057252454003901e-05,2.213512186044486e-09,0.008759037882555276,7.72319423583516e-12,99.99120235443115
19.54,No person,confident,0.040439566782429305,8.055640711113504e-22,0.012624952019197997,2.3430867783924258e-07,3.0671512777028944,1.0906781175680684e-11,96.87978066447012
20.09,No person,confident,0.10656735394150019,5.012341333531524e-22,1.6328474506735802,2.6961358146060377e-08,0.740948086604476,1.505248703459472e-09,97.5196361541748
